"ID","Gene.name","rank","Direction","Sig_FDR.FC","Is_kinase","Log2FC","Log10P.Value","Log10adj.P.Val","Protein.IDs","Gene.names","MS.MS.count","V_log2.i._TMT_1","V_log2.i._TMT_3","V_log2.i._TMT_5","V_log2.i._TMT_7","V_log2.i._TMT_9","D_log2.i._TMT_2","D_log2.i._TMT_4","D_log2.i._TMT_6","D_log2.i._TMT_8","D_log2.i._TMT_10"
"Q00535","CDK5;",1,3,3,"yes",1.5591729817335,15.2763269491356,11.4981756987519,"Q00535;Q00535-2","CDK5;",133,22.3137152987587,22.3568454402895,22.2997831223205,22.2840071590448,22.2918620782783,23.8589252650009,23.8635848189431,23.8949017400789,23.8217219494215,23.9029442339148
"P36507","MAP2K2;",2,3,3,"yes",1.56018736591706,14.3529044815965,10.8757832268768,"P36507;O60928-2;O60928","MAP2K2;",194,24.0696118452214,24.125271260673,24.0046232522364,23.9828636720635,24.0767275188303,25.5883724649863,25.651868463812,25.6282590516879,25.5962835867222,25.5952508114016
"Q96SB4","SRPK1;",3,3,3,"yes",1.03818154117625,14.0309535825149,10.8548623234592,"Q96SB4;Q96SB4-4;Q96SB4-3","SRPK1;",260,24.1095205431167,24.1416717730992,24.1135392059661,24.0948664825696,24.1015033597637,25.1199378424126,25.1968745865664,25.1494154046566,25.1351051296291,25.1506761071318
"P25098","ADRBK1;",4,3,3,"yes",1.3855725352621,14.0981912766712,10.8548623234592,"P25098","ADRBK1;",202,22.8717154711525,22.926773556316,22.9788453502161,22.9590294073671,22.8821572613338,24.3479809335006,24.3196947521469,24.3147039112634,24.2683013967067,24.2957027290785
"P17612","PRKACA;",5,3,3,"yes",1.22125069974157,13.4084028080793,10.3292215620317,"P17612;P17612-2;REV__Q06190","PRKACA;",232,24.252132020696,24.3033403359178,24.2767455791989,24.3126686506679,24.2046376117738,25.5123156666775,25.5345549487718,25.4744857067547,25.5039688437202,25.430452531038
"P49840","GSK3A;",7,3,3,"yes",1.15107480353371,13.1183151056793,10.2292036744002,"P49840","GSK3A;",166,23.4372959730183,23.4530535692345,23.4282277245147,23.3906595304594,23.4687844756699,24.6289633325292,24.6446238847415,24.5812074760478,24.5402065027444,24.5383940945025
"Q9NWZ3","IRAK4;",8,3,3,"yes",0.915079488493248,13.1042649377919,10.2292036744002,"Q9NWZ3;Q9NWZ3-2","IRAK4;",151,22.7156199915991,22.7689386196868,22.7689386196868,22.7336162515367,22.704511719912,23.6701284934422,23.6620166851854,23.6648794999012,23.6463250835173,23.6236728828415
"Q86UE8","TLK2;",9,3,3,"yes",0.975598543135206,12.9961380463166,10.1722293053723,"Q86UE8-2;Q86UE8","TLK2;",208,23.2887194306887,23.3014886293784,23.3214802873265,23.3288811433906,23.2308493061314,24.3033403359178,24.2783321762811,24.2542469105166,24.252132020696,24.2613600691801
"Q9Y6E0","STK24;",10,3,3,"yes",0.889468239833917,12.7683248878512,10.031718247257,"Q9Y6E0-2;Q9Y6E0","STK24;",284,24.1593144450548,24.1177707875924,24.092540534051,24.057016706493,24.114822727641,25.014812631214,25.0219731707912,24.9927710737971,24.9839646532607,24.9752848709387
"Q13043","STK4;",11,3,3,"yes",0.997004933760479,12.730688251593,10.031718247257,"Q13043;Q13043-2","STK4;",198,23.2164411988666,23.2403164484145,23.3014886293784,23.2708976131167,23.2534137552009,24.2856447376521,24.2761786893475,24.284795430557,24.2171214058709,24.2038420503519
"P15735","PHKG2;",12,3,3,"yes",1.34904479110624,12.7643521072794,10.031718247257,"P15735;P15735-2;Q16816;Q16816-2","PHKG2;",80,21.7567058812048,21.8451207723536,21.7711830191173,21.7740829893737,21.8138330005397,23.1893189908591,23.2214858876144,23.1417258183707,23.0453817146071,23.1082372066691
"O14965","AURKA;",13,3,3,"yes",1.10723751678099,12.393067488281,9.72885959020422,"O14965","AURKA;",99,21.9249014859295,21.9700609782853,21.9088890369354,21.8647926146451,21.889778767795,23.0205305147033,23.1012759332624,23.0253346803767,22.9774166859458,22.970052653207
"O96013","PAK4;",14,3,3,"yes",1.77983083768655,12.1279200686884,9.51516678519981,"O96013;O96013-4;O96013-2;O96013-3;Q9P286","PAK4;",173,22.4525020044108,22.5260911507982,22.5688299450546,22.5484047783479,22.7284180927621,24.3823645102225,24.4609465198157,24.3339538227404,24.2770410672187,24.2690942398092
