Webb_TPP,Savitski_TPP,Kinobeads,iTSA_52,iTSA_48,iTSA_56,iTSA_ALL
PRKACG;,MAP2K1;,CDK6;,CDK5;,CDK5;,MAP2K1;,PRKACG;
PRKACB;,PRKACA;,MAPK3;,MAP2K2;,PRKCQ;,PRKACA;,MAP2K1;
MAP2K1;,STK4;,ADCK3;,SRPK1;,STK38;,CAMKK1;,PRKACA;
PRKACA;,GSK3B;,MAPK14;,ADRBK1;,GAK;,MAPK12;,STK4;
STK4;,GSK3A;,ROCK2;,PRKACA;,MAP2K2;,CAMK2G;,GSK3B;
GSK3B;,STK3;,NEK9;,GSK3A;,SRPK1;,PHKG2;,GSK3A;
GSK3A;,MAP2K2;,CSNK1D;,IRAK4;,PKN1;,CDK16;,CAMK1;
CAMK1;,CAMKK2;,CSNK1A1;,TLK2;,PRKCB;,GSK3B;,CAMKK1;
CAMKK1;,CDK5;,MAP3K4;,PHKG2;,IRAK4;,TLK2;,PRKCB;
PRKCB;,MAP2K7;,VRK2;,STK24;,STK25;,GSK3A;,DAPK3;
DAPK3;,MAPK12;,NEK7;,STK4;,MAPK8;,STK3;,MAPK9;
MAPK9;,PTK2;,RIPK2;,AURKA;,TLK1;,DYRK1A;,STK3;
STK3;,CSK;,MAPK1;,PAK4;,BMP2K;,CHEK1;,MAP2K2;
MAP2K2;,MAPK8;,BRD3;,TLK1;,PDPK1;,PTK2;,CAMKK2;
CAMKK2;,ADRBK1;,BRD4;,CDK2;,CAMK2G;,CAMKK2;,PRKCA;
PRKCA;,IRAK4;,MAPK9;,CSK;,VRK1;,BMP2K;,CDK5;
CDK5;,CDC42BPA;,CSNK1G3;,MAP2K1;,AURKA;,TNIK;,MAP2K7;
MAP2K7;,FER;,STRADA;,STK38L;,PAK4;,AURKA;,STK25;
STK25;,CDK2;,MTOR;,PRKCD;,ADRBK1;,CDK2;,CHEK1;
CHEK1;,AAK1;,ACTR2;,ROCK2;,CDK4;,MAPK1;,MAPK12;
PTK2;,BMP2K;,PRKDC;,GAK;,RPS6KA1;,PDPK1;,PTK2;
TLK2;,PAK4;,NEK1;,MAPK8;,CSNK2A2;,CDK8;,PRPF4B;
CSK;,PHKG2;,EIF2AK1;,CAMKK2;,STK38L;,SRPK1;,TLK2;
MAPK8;,CAMK2G;,BRAF;,BMP2K;,CAMKK2;,PRPF4B;,CSK;
TLK1;,AURKA;,EPHB4;,STK38;,AURKB;,MAPK9;,MAPK8;
ADRBK1;,MAP4K2;,NEK3;,PRPF4B;,CDK9;,PRKAA1;,TLK1;
IRAK4;,PRKCD;,RAF1;,MAPKAPK5;,PKN2;,RPS6KB1;,ADRBK1;
FER;,MAP3K2;,ILK;,PTK2;,STK24;,STK38;,IRAK4;
MAPK12;,LYN;,MAST4;,RPS6KA3;,STK17B;,CHEK2;,SRPK1;
PRPF4B;,PRKCQ;,CSNK1G1;,PDPK1;,PLK1;,SIK3;,CDC42BPA;
SRPK1;,MKNK1;,CSNK1E;,RPS6KB1;,CSK;,ADRBK1;,CDK2;
CDC42BPA;,STK24;,MAP3K1;,AAK1;,MASTL;,SRPK2;,AAK1;
