Webb_TPP,Savitski_TPP,Kinobeads,iTSA_52,iTSA_48,iTSA_56,iTSA_ALL
ANXA2;,ADK;,ZAK;,FECH;,PRKAR2B;,FECH;,ADK;
ROGDI;,FECH;,PIP4K2C;,MARCKSL1;,FECH;,ADK;,FECH;
AKAP8;,HEBP1;,Q7L3H5;,PRKAR2A;,RAI14;,HEBP1;,Q6ZSR9;
ADK;,ALS2;,PIP4K2A;,ADK;,PRKAR2A;,CCDC144CP;,MARCKSL1;
AGFG2;,CCNC;,PIP4K2B;,CCDC144CP;,PHKB;,CCNB1;,TANK;
FECH;,PRKAR2B;,B2R6D7;,Q6ZSR9;,MOB2;,PI4KB;,HEBP1;
MRPL28;,OSBPL3;,PIK3CB;,PRKAR2B;,PDCD10;,DCAF7;,ZAK;
TIA1;,CCNB2;,B4DTS2;,PDCD10;,PHKA2;,PRKAB1;,PRKAG1;
CPEB4;,PIK3CD;,,LLGL1;,AZI2;,PRKAR2A;,PI4KB;
MSI2;,PMPCA;,,ZAK;,ALDH6A1;,RCN2;,DYRK1A;
CMYA5;,,,PI4KB;,LUC7L;,H1FX;,RAI14;
MRPL37;,,,PNPO;,MARCKSL1;,,SNX17;
ZNF326;,,,PHKA1;,AKAP12;,,PNPO;
PAPD4;,,,CCNB1;,TANK;,,PRKAB1;
PCTP;,,,PHKB;,,,HNRNPF;
ARHGEF18;,,,RASSF5;,,,LLGL1;
TBC1D32;,,,PRKAG1;,,,PHKA2;
PITX1;,,,SNX17;,,,PRKAR2A;
,,,TIMM44;,,,AZI2;
,,,RBMX2;,,,PHKA1;
,,,HNRNPF;,,,PRKAR2B;
,,,MIEF2;,,,ALDH6A1;
,,,MRPL55;,,,PHKB;
,,,,,,MOB2;
,,,,,,CCDC144CP;
,,,,,,MIEF2;
,,,,,,RCN2;
,,,,,,LUC7L;
,,,,,,RASSF5;
,,,,,,CCNB1;
,,,,,,DCAF7;
,,,,,,PDCD10;
,,,,,,MRPL55;
,,,,,,TIMM44;
,,,,,,RBMX2;
,,,,,,H1FX;
,,,,,,AKAP12;
