Webb_TPP,Savitski_TPP,Kinobeads,iTSA_52,iTSA_48,iTSA_56,iTSA_ALL
PRKACG;,MAP2K1;,CDK6;,CDK5;,CDK5;,MAP2K1;,PRKACG;
PRKACB;,PRKACA;,MAPK3;,MAP2K2;,PRKCQ;,PRKACA;,MAP2K1;
MAP2K1;,STK4;,ADCK3;,SRPK1;,STK38;,CAMKK1;,PRKACA;
PRKACA;,GSK3B;,ZAK;,ADRBK1;,GAK;,MAPK12;,STK4;
STK4;,GSK3A;,MAPK14;,PRKACA;,MAP2K2;,CAMK2G;,GSK3B;
GSK3B;,ADK;,ROCK2;,FECH;,SRPK1;,FECH;,GSK3A;
GSK3A;,STK3;,NEK9;,GSK3A;,PKN1;,PHKG2;,CAMK1;
CAMK1;,MAP2K2;,CSNK1D;,IRAK4;,PRKCB;,CDK16;,CAMKK1;
CAMKK1;,CAMKK2;,CSNK1A1;,TLK2;,PRKAR2B;,GSK3B;,PRKCB;
PRKCB;,FECH;,MAP3K4;,PHKG2;,IRAK4;,TLK2;,DAPK3;
ANXA2;,CDK5;,VRK2;,STK24;,STK25;,GSK3A;,MAPK9;
DAPK3;,MAP2K7;,NEK7;,STK4;,MAPK8;,STK3;,ADK;
MAPK9;,MAPK12;,RIPK2;,AURKA;,TLK1;,DYRK1A;,STK3;
ROGDI;,PTK2;,MAPK1;,PAK4;,BMP2K;,CHEK1;,MAP2K2;
AKAP8;,CSK;,BRD3;,TLK1;,PDPK1;,PTK2;,CAMKK2;
ADK;,MAPK8;,PIP4K2C;,CDK2;,CAMK2G;,CAMKK2;,FECH;
STK3;,ADRBK1;,BRD4;,CSK;,VRK1;,BMP2K;,PRKCA;
MAP2K2;,IRAK4;,MAPK9;,MAP2K1;,AURKA;,TNIK;,CDK5;
CAMKK2;,CDC42BPA;,CSNK1G3;,STK38L;,PAK4;,AURKA;,MAP2K7;
AGFG2;,FER;,STRADA;,PRKCD;,FECH;,CDK2;,STK25;
FECH;,CDK2;,MTOR;,MARCKSL1;,ADRBK1;,ADK;,CHEK1;
PRKCA;,AAK1;,ACTR2;,ROCK2;,CDK4;,MAPK1;,MAPK12;
CDK5;,BMP2K;,PRKDC;,GAK;,RPS6KA1;,PDPK1;,PTK2;
MAP2K7;,PAK4;,NEK1;,MAPK8;,CSNK2A2;,CDK8;,PRPF4B;
STK25;,PHKG2;,EIF2AK1;,CAMKK2;,STK38L;,SRPK1;,TLK2;
CHEK1;,CAMK2G;,BRAF;,BMP2K;,CAMKK2;,HEBP1;,CSK;
MRPL28;,AURKA;,EPHB4;,STK38;,RAI14;,CCDC144CP;,MAPK8;
TIA1;,MAP4K2;,NEK3;,PRPF4B;,AURKB;,PRPF4B;,TLK1;
PTK2;,HEBP1;,RAF1;,MAPKAPK5;,CDK9;,MAPK9;,ADRBK1;
CPEB4;,PRKCD;,ILK;,PTK2;,PKN2;,PRKAA1;,IRAK4;
MSI2;,ALS2;,MAST4;,RPS6KA3;,STK24;,RPS6KB1;,SRPK1;
TLK2;,MAP3K2;,Q7L3H5;,PDPK1;,STK17B;,STK38;,CDC42BPA;
